, ,Time,StnPres,Temperature,RH,WS,WD,Precp,Holiday,target
0,42,0,1011.6,19.9,82.0,0.8,85.0,0.0,0,0
1,63,0,1010.9,19.5,92.0,0.6,73.0,0.0,0,0
2,84,0,1008.0,21.8,75.0,0.8,54.0,0.0,0,0
3,105,0,1008.4,21.6,78.0,0.0,0.0,0.0,0,0
4,168,0,1008.1,17.3,84.0,1.0,67.0,0.0,0,0
5,189,0,1011.7,16.3,66.0,1.2,55.0,0.0,0,0
6,210,0,1012.6,17.9,73.0,0.5,69.0,0.0,0,0
7,231,0,1010.1,18.5,86.0,1.0,109.0,0.0,0,0
8,252,0,1007.1,17.3,88.0,0.2,0.0,0.0,0,0
9,315,0,1013.6,13.2,93.0,1.0,80.0,0.5,0,0
10,336,0,1014.8,15.5,75.0,0.3,70.0,0.0,0,0
11,357,0,1013.5,19.2,77.0,0.0,0.0,0.0,0,0
12,378,0,1013.1,19.0,84.0,0.0,0.0,0.0,0,0
13,399,0,1013.3,17.0,89.0,0.5,55.0,0.0,0,0
14,462,0,1019.7,13.1,60.0,1.5,72.0,0.0,0,0
15,483,0,1020.4,13.7,65.0,1.0,69.0,0.0,0,0
16,504,0,1021.0,12.8,91.0,0.9,64.0,0.0,0,0
17,525,0,1018.9,13.5,85.0,0.3,95.0,0.0,0,0
18,672,0,1018.1,14.3,83.0,0.6,49.0,0.0,0,0
19,693,0,1014.9,15.6,72.0,1.1,71.0,0.0,0,0
20,756,0,1009.0,17.1,78.0,0.7,55.0,0.0,0,0
21,777,0,1011.9,16.2,60.0,1.1,72.0,0.0,0,0
22,798,0,1008.3,16.5,76.0,0.4,118.0,0.0,0,0
23,819,0,1010.2,14.9,87.0,0.3,45.0,0.5,0,0
24,840,0,1015.1,10.8,54.0,0.1,0.0,0.0,0,1
25,903,0,1019.2,14.4,63.0,0.7,52.0,0.0,0,0
26,924,0,1021.9,15.1,63.0,1.1,91.0,0.0,0,0
27,945,0,1020.7,14.3,66.0,1.0,95.0,0.0,0,0
28,966,0,1014.7,19.1,55.0,0.4,46.0,0.0,0,0
29,987,0,1013.0,17.1,71.0,0.0,0.0,0.0,0,0
30,1008,0,1013.9,19.6,76.0,0.4,85.0,0.0,0,0
31,1050,0,1005.8,19.4,75.0,0.1,0.0,0.0,0,0
32,1071,0,1011.8,18.3,85.0,1.0,83.0,0.0,0,0
33,1092,0,1007.8,23.3,63.0,0.4,111.0,0.0,0,0
34,1113,0,1008.3,18.2,90.0,0.5,84.0,0.0,0,0
35,1134,0,1015.0,12.1,89.0,0.5,76.0,0.0,0,0
36,1239,0,1010.6,14.1,89.0,0.4,91.0,0.0,0,0
37,1260,0,1010.8,15.6,76.0,0.0,0.0,0.0,0,0
38,1281,0,1013.0,12.9,63.0,0.8,61.0,0.0,0,0
39,1344,0,1002.4,18.7,84.0,0.0,0.0,0.0,0,0
40,1365,0,1009.3,14.4,70.0,0.5,69.0,0.0,0,0
41,1386,0,1010.5,12.3,84.0,0.1,0.0,0.0,0,0
42,1407,0,1010.8,14.5,75.0,0.5,115.0,0.0,0,0
43,1428,0,1007.7,15.9,86.0,0.6,102.0,0.0,0,0
44,1491,0,1005.0,20.3,84.0,0.0,0.0,0.0,0,0
45,1512,0,1008.0,15.0,88.0,0.0,0.0,0.5,0,0
46,1533,0,1013.7,14.2,66.0,0.3,87.0,0.0,0,0
47,1554,0,1008.9,16.4,69.0,0.5,94.0,0.0,0,0
48,1575,0,1011.6,15.6,94.0,0.2,0.0,2.0,0,0
49,1638,0,1009.7,18.4,92.0,0.4,50.0,0.0,0,0
50,1659,0,1006.9,21.7,86.0,0.0,0.0,0.0,0,0
51,1680,0,1010.6,16.7,82.0,1.0,73.0,0.0,0,0
52,1701,0,1008.2,17.4,89.0,0.1,0.0,0.0,0,0
53,1722,0,1010.4,17.5,74.0,0.9,104.0,0.0,0,0
54,1785,0,1017.1,14.5,71.0,0.1,0.0,0.0,0,0
55,1806,0,1014.3,18.8,55.0,0.4,70.0,0.0,0,0
56,1827,0,1011.4,19.3,71.0,0.0,0.0,0.0,0,0
57,1848,0,1012.0,18.8,84.0,0.3,65.0,0.0,0,0
58,1869,0,1006.5,22.0,79.0,0.0,0.0,0.0,0,0
59,1974,0,1009.4,20.6,63.0,0.0,0.0,0.0,0,0
60,1995,0,1006.2,22.0,76.0,0.0,0.0,0.0,0,0
61,2016,0,1005.0,22.4,72.0,0.2,0.0,0.0,0,0
62,2079,0,999.3,24.4,84.0,0.1,0.0,0.0,0,0
63,2100,0,997.4,25.3,76.0,0.0,0.0,0.0,0,0
64,2121,0,1004.7,17.1,91.0,0.6,107.0,4.0,0,0
65,2142,0,1009.7,17.0,76.0,0.6,69.0,0.0,0,0
66,2163,0,1008.3,18.1,91.0,0.1,0.0,1.0,0,0
67,2226,0,1004.2,23.1,73.0,0.0,0.0,0.0,0,0
68,5187,0,1002.9,27.5,85.0,0.0,0.0,0.0,0,0
69,5208,0,1000.3,28.7,73.0,1.3,76.0,0.0,0,0
70,5229,0,999.6,29.8,75.0,0.3,265.0,0.0,0,0
71,5250,0,1002.3,29.3,83.0,0.4,226.0,0.0,0,0
72,5313,0,1002.7,27.2,82.0,0.0,0.0,0.0,0,0
73,5334,0,1002.5,28.4,73.0,0.2,0.0,0.0,0,0
74,5355,0,1003.2,28.3,76.0,1.4,66.0,6.0,0,0
75,5376,0,1001.0,25.6,83.0,2.0,284.0,0.0,0,0
76,5397,0,999.7,27.8,65.0,1.4,235.0,0.0,0,0
77,5460,0,1003.5,24.3,76.0,0.7,85.0,0.0,0,0
78,5481,0,1002.6,25.4,73.0,1.2,78.0,0.0,0,0
79,5502,0,1002.6,27.9,75.0,0.3,44.0,0.0,0,0
80,5523,0,1001.2,29.0,76.0,0.0,0.0,0.0,0,0
81,5544,0,1001.9,28.3,84.0,0.3,192.0,0.0,0,0
82,5607,0,1004.2,28.0,80.0,0.6,230.0,0.0,0,0
83,5628,0,1002.7,28.2,82.0,0.5,184.0,0.0,0,0
84,5649,0,1002.1,28.6,81.0,0.2,0.0,0.0,0,0
85,5670,0,1001.5,28.6,77.0,0.2,0.0,0.0,0,0
86,5691,0,1000.9,27.6,80.0,0.0,0.0,9.0,0,0
87,5712,0,1007.7,26.3,80.0,1.0,77.0,0.0,0,1
88,5754,0,1003.8,29.0,68.0,0.0,0.0,0.0,0,0
89,5775,0,1004.4,28.2,83.0,0.0,0.0,0.0,0,0
90,5817,0,1008.0,24.3,92.0,2.2,82.0,0.0,0,0
91,5838,0,1006.2,26.3,89.0,1.5,80.0,0.0,0,0
92,5943,0,1004.7,28.2,78.0,1.8,71.0,0.0,0,0
93,5964,0,1005.4,24.0,96.0,1.5,83.0,4.5,0,0
94,5985,0,1003.4,24.9,90.0,1.6,79.0,1.0,0,0
95,6048,0,1002.5,25.2,97.0,0.1,0.0,0.0,0,0
96,6069,0,1005.4,25.6,94.0,1.5,74.0,0.0,0,0
97,6090,0,1006.2,24.0,95.0,1.1,79.0,0.5,0,0
98,6111,0,1005.3,23.0,95.0,1.1,75.0,0.5,0,0
99,6132,0,1003.8,22.3,99.0,1.0,72.0,7.0,0,1
100,6195,0,1006.5,19.2,69.0,0.0,0.0,0.0,0,0
101,6216,0,1010.7,21.2,71.0,0.6,72.0,0.0,0,0
102,6237,0,1012.5,20.6,80.0,1.0,79.0,0.0,0,0
103,6258,0,1010.2,21.7,69.0,0.4,79.0,0.0,0,0
104,6279,0,1006.8,22.0,72.0,0.1,0.0,0.0,0,1
105,6342,0,1015.1,21.9,64.0,1.0,33.0,0.0,0,0
106,6363,0,1014.8,18.7,79.0,0.3,96.0,0.5,0,0
107,6384,0,1011.0,19.7,96.0,0.8,87.0,0.5,0,0
108,6405,0,1006.9,23.0,96.0,0.3,82.0,0.0,0,0
109,6426,0,1006.6,24.3,93.0,0.7,109.0,0.0,0,0
110,6489,0,1010.6,21.1,89.0,1.9,76.0,0.0,0,0
111,6510,0,1007.1,25.3,85.0,1.1,83.0,0.0,0,0
112,6531,0,1009.0,23.5,90.0,0.6,128.0,0.0,0,0
113,6552,0,1009.3,21.5,95.0,2.7,81.0,0.0,0,0
114,6573,0,1007.2,23.6,85.0,1.5,78.0,0.0,0,0
115,6636,0,1007.2,20.8,98.0,1.1,85.0,0.5,0,0
116,6657,0,1004.9,22.3,92.0,2.2,78.0,0.0,0,0
117,6678,0,1008.3,21.2,93.0,1.0,79.0,0.0,0,0
118,6699,0,1008.4,22.4,87.0,1.8,84.0,0.0,0,0
119,6720,0,1005.2,24.5,86.0,0.1,0.0,0.0,0,0
120,6783,0,1011.6,17.2,100.0,1.3,79.0,2.5,0,0
121,6804,0,1012.5,17.8,98.0,1.6,76.0,0.5,0,0
122,6825,0,1006.8,21.1,98.0,0.0,0.0,0.0,0,0
123,6846,0,1011.4,17.2,90.0,0.9,72.0,0.0,0,0
124,6867,0,1014.1,17.2,79.0,1.8,81.0,0.0,0,0
125,6930,0,1013.1,19.2,97.0,1.0,91.0,0.5,0,0
126,6951,0,1009.1,22.5,88.0,1.9,81.0,0.0,0,0
127,6972,0,1008.8,24.9,84.0,1.5,80.0,0.0,0,0
128,6993,0,1008.4,23.1,94.0,1.6,77.0,0.0,0,0
129,7014,0,1012.6,18.2,95.0,1.8,84.0,0.5,0,0
130,7077,0,1010.8,19.6,84.0,0.0,0.0,0.0,0,0
131,7098,0,1012.8,17.7,66.0,0.8,72.0,0.0,0,0
132,7119,0,1012.2,15.6,63.0,2.0,71.0,0.0,0,0
133,7140,0,1011.3,15.8,97.0,0.5,78.0,0.0,0,0
134,7161,0,1011.3,15.6,96.0,0.6,89.0,2.0,0,0
135,7224,0,1011.5,17.7,77.0,1.8,87.0,0.0,0,0
136,7245,0,1012.1,17.2,66.0,1.9,67.0,0.0,0,0
137,7266,0,1011.9,16.4,97.0,2.5,81.0,0.5,0,0
138,7287,0,1013.5,15.3,93.0,2.5,78.0,0.0,0,0
139,7308,0,1011.4,17.9,98.0,1.2,73.0,0.0,0,1
140,7371,0,1017.5,13.4,86.0,2.1,82.0,0.0,0,0
141,7392,0,1017.5,13.8,98.0,1.1,81.0,0.0,0,0
142,7413,0,1020.3,14.4,84.0,1.0,76.0,0.0,0,0
143,7434,0,1021.9,14.6,59.0,1.2,83.0,0.0,0,0
144,7455,0,1016.4,16.6,64.0,2.4,74.0,0.0,0,1
145,7518,0,1013.6,17.3,61.0,1.2,87.0,0.0,0,0
146,7539,0,1012.8,16.8,67.0,2.2,74.0,0.0,0,0
147,7560,0,1015.1,16.9,70.0,2.0,74.0,0.0,0,0
148,7581,0,1013.8,18.6,71.0,1.1,79.0,0.0,0,0
149,7602,0,1012.8,18.0,95.0,0.9,77.0,0.0,0,1
150,20,0,1013.8,17.2,83.0,2.3,83.0,0.0,0,0
151,41,0,1011.1,20.1,71.0,1.9,82.0,0.0,0,0
152,62,0,1010.4,19.8,78.0,1.6,72.0,0.0,0,0
153,83,0,1007.5,17.5,94.0,0.6,265.0,0.0,0,0
154,146,0,1004.6,19.6,80.0,0.3,300.0,0.0,0,0
155,167,0,1012.7,12.5,93.0,1.9,76.0,2.5,0,0
156,188,0,1016.8,10.7,81.0,0.0,0.0,0.0,0,0
157,209,0,1018.8,10.7,59.0,0.0,0.0,0.0,0,0
158,230,0,1021.9,10.4,50.0,0.0,0.0,0.0,0,0
159,293,0,1011.8,15.8,77.0,1.4,80.0,0.0,0,0
160,314,0,1007.4,19.4,72.0,0.1,0.0,0.0,0,0
161,335,0,1005.0,17.2,85.0,0.0,0.0,0.0,0,0
162,356,0,1008.2,18.6,96.0,1.2,87.0,0.0,0,0
163,377,0,1009.8,18.9,99.0,0.9,73.0,0.5,0,0
164,440,0,1005.2,19.4,93.0,0.1,0.0,0.0,0,0
165,461,0,1008.7,16.3,80.0,2.0,71.0,0.0,0,0
166,482,0,1009.4,15.7,94.0,2.0,85.0,0.0,0,0
167,503,0,1009.8,14.5,95.0,3.0,75.0,0.0,0,0
168,524,0,1009.6,16.3,97.0,1.6,82.0,0.0,0,1
169,587,0,1011.3,13.2,93.0,0.9,75.0,0.0,0,0
170,608,0,1014.6,10.6,96.0,1.4,81.0,0.5,0,0
171,629,0,1012.5,13.5,99.0,1.6,77.0,1.5,0,0
172,650,0,1014.8,11.9,93.0,0.6,74.0,1.0,0,1
173,671,0,1015.4,12.0,99.0,0.5,58.0,0.5,0,1
174,734,0,1019.0,8.1,95.0,0.2,0.0,1.5,0,1
175,755,0,1019.0,8.0,96.0,0.1,0.0,0.0,0,1
176,776,0,1015.9,11.0,61.0,1.6,67.0,0.0,0,1
177,797,0,1013.6,11.3,99.0,0.4,70.0,1.5,0,1
178,818,0,1010.1,12.2,99.0,1.8,74.0,0.5,0,1
179,881,0,1019.2,11.8,74.0,1.4,79.0,0.0,0,1
180,902,0,1019.1,11.7,62.0,1.5,72.0,0.0,0,1
181,923,0,1013.8,16.2,66.0,0.0,0.0,0.0,0,1
182,1070,0,1006.9,16.8,99.0,0.1,0.0,0.0,0,1
183,1091,0,1009.7,14.8,99.0,1.6,79.0,0.0,0,0
