,Date,Time,Station,Get_In_Count,Way_Out_Count,StnPres,Temperature,RH,WS,WD,Precp,W_Station,Holiday
0,2018-01-01,1,市政府,5,0,1014.7,15.0,75,1.9,81,0.0,C0AC70XinYi,1
1,2018-01-01,5,市政府,0,0,1014.2,15.4,73,1.8,79,0.0,C0AC70XinYi,1
2,2018-01-01,6,市政府,996,538,1014.5,15.5,73,0.7,76,0.0,C0AC70XinYi,1
3,2018-01-01,7,市政府,627,738,1015.1,15.3,75,1.7,73,0.0,C0AC70XinYi,1
4,2018-01-01,8,市政府,666,1021,1015.2,15.8,72,1.5,72,0.0,C0AC70XinYi,1
5,2018-01-01,9,市政府,734,1793,1015.7,16.2,72,1.1,80,0.0,C0AC70XinYi,1
6,2018-01-01,10,市政府,1275,3203,1015.6,16.7,72,2.1,75,0.0,C0AC70XinYi,1
7,2018-01-01,11,市政府,1409,3936,1014.9,17.2,71,3.4,77,0.0,C0AC70XinYi,1
8,2018-01-01,12,市政府,2139,4314,1013.8,17.4,69,2.6,79,0.0,C0AC70XinYi,1
9,2018-01-01,13,市政府,2725,4613,1012.9,18.0,69,2.5,82,0.0,C0AC70XinYi,1
10,2018-01-01,14,市政府,3721,4942,1012.3,17.5,72,3.2,79,0.0,C0AC70XinYi,1
11,2018-01-01,15,市政府,4498,4935,1012.0,17.1,74,2.9,83,0.0,C0AC70XinYi,1
12,2018-01-01,16,市政府,5169,4652,1012.0,16.8,78,1.6,73,0.0,C0AC70XinYi,1
13,2018-01-01,17,市政府,5701,4475,1012.1,16.5,80,2.4,83,0.0,C0AC70XinYi,1
14,2018-01-01,18,市政府,5890,3865,1012.5,16.2,84,2.3,78,0.0,C0AC70XinYi,1
15,2018-01-01,19,市政府,4755,2650,1013.0,16.2,87,2.1,84,0.0,C0AC70XinYi,1
16,2018-01-01,20,市政府,4528,2058,1013.3,16.3,90,0.8,77,0.0,C0AC70XinYi,1
17,2018-01-01,21,市政府,4834,1498,1013.5,16.2,90,1.7,76,0.0,C0AC70XinYi,1
18,2018-01-01,22,市政府,4502,1013,1013.9,16.7,87,1.6,75,0.0,C0AC70XinYi,1
19,2018-01-01,23,市政府,1292,476,1013.8,17.2,82,1.9,83,0.0,C0AC70XinYi,1
20,2018-01-02,0,市政府,384,108,1013.8,17.2,83,2.3,83,0.0,C0AC70XinYi,0
21,2018-01-02,1,市政府,6,0,1013.5,16.9,87,2.0,83,0.0,C0AC70XinYi,0
22,2018-01-02,5,市政府,0,0,1012.5,17.3,84,1.3,77,0.0,C0AC70XinYi,0
23,2018-01-02,6,市政府,280,995,1012.9,17.2,85,1.8,82,0.0,C0AC70XinYi,0
24,2018-01-02,7,市政府,1533,4415,1013.6,17.2,86,1.4,83,0.0,C0AC70XinYi,0
25,2018-01-02,8,市政府,2625,10586,1013.8,18.0,84,1.7,68,0.0,C0AC70XinYi,0
26,2018-01-02,9,市政府,1782,5454,1014.0,18.8,80,1.0,76,0.0,C0AC70XinYi,0
27,2018-01-02,10,市政府,1347,3443,1013.8,20.3,73,1.1,84,0.0,C0AC70XinYi,0
28,2018-01-02,11,市政府,1489,2826,1013.0,21.1,68,1.4,93,0.0,C0AC70XinYi,0
29,2018-01-02,12,市政府,1817,3084,1011.8,21.6,64,3.1,97,0.0,C0AC70XinYi,0
30,2018-01-02,13,市政府,2146,2996,1010.9,21.7,63,3.2,100,0.0,C0AC70XinYi,0
31,2018-01-02,14,市政府,2308,2764,1009.9,21.8,64,2.8,112,0.0,C0AC70XinYi,0
32,2018-01-02,15,市政府,2580,2663,1009.3,21.7,63,1.6,105,0.0,C0AC70XinYi,0
33,2018-01-02,16,市政府,3266,2577,1009.4,21.3,66,2.5,82,0.0,C0AC70XinYi,0
34,2018-01-02,17,市政府,5266,3547,1009.9,20.6,69,1.6,82,0.0,C0AC70XinYi,0
35,2018-01-02,18,市政府,8871,5011,1010.2,20.1,74,2.6,71,0.0,C0AC70XinYi,0
36,2018-01-02,19,市政府,7306,3283,1010.1,20.0,72,2.9,94,0.0,C0AC70XinYi,0
37,2018-01-02,20,市政府,4765,1858,1010.7,20.0,72,2.3,78,0.0,C0AC70XinYi,0
38,2018-01-02,21,市政府,4163,1608,1011.0,20.1,72,2.8,74,0.0,C0AC70XinYi,0
39,2018-01-02,22,市政府,4437,1188,1011.1,20.0,71,2.1,86,0.0,C0AC70XinYi,0
40,2018-01-02,23,市政府,1257,381,1011.0,20.2,69,0.9,81,0.0,C0AC70XinYi,0
41,2018-01-03,0,市政府,414,115,1011.1,20.1,71,1.9,82,0.0,C0AC70XinYi,0
42,2018-01-03,1,市政府,5,0,1011.2,19.6,76,1.6,74,0.0,C0AC70XinYi,0
43,2018-01-03,5,市政府,0,0,1010.5,19.7,72,1.5,86,0.0,C0AC70XinYi,0
44,2018-01-03,6,市政府,295,951,1010.6,19.8,72,2.3,74,0.0,C0AC70XinYi,0
45,2018-01-03,7,市政府,1475,4489,1011.1,19.8,72,2.0,73,0.0,C0AC70XinYi,0
46,2018-01-03,8,市政府,2533,11071,1012.3,20.0,75,1.5,81,0.0,C0AC70XinYi,0
47,2018-01-03,9,市政府,1660,5561,1012.7,21.3,72,0.9,77,0.0,C0AC70XinYi,0
48,2018-01-03,10,市政府,1316,3462,1012.8,22.4,68,1.6,68,0.0,C0AC70XinYi,0
49,2018-01-03,11,市政府,1421,2708,1011.7,23.0,63,2.8,86,0.0,C0AC70XinYi,0
50,2018-01-03,12,市政府,1823,3137,1010.9,23.5,61,2.4,75,0.0,C0AC70XinYi,0
51,2018-01-03,13,市政府,2109,2900,1009.9,23.1,61,2.1,71,0.0,C0AC70XinYi,0
52,2018-01-03,14,市政府,2429,2868,1009.3,23.0,61,1.6,114,0.0,C0AC70XinYi,0
