,Date,Time,Station,Get_In_Count,Way_Out_Count,StnPres,Temperature,RH,WS,WD,Precp,W_Station,Holiday
0,2017-01-01,0,西門,1512,772,1019.2,20.7,69,4.3,70,0.0,466920TaiPei,1
1,2017-01-01,1,西門,28,0,1019.0,20.5,72,3.5,60,0.0,466920TaiPei,1
2,2017-01-01,5,西門,0,0,1017.8,20.2,72,5.6,50,0.0,466920TaiPei,1
3,2017-01-01,6,西門,1610,674,1018.5,20.0,74,3.0,50,0.0,466920TaiPei,1
4,2017-01-01,7,西門,2221,897,1019.2,20.5,72,4.6,50,0.0,466920TaiPei,1
5,2017-01-01,8,西門,1963,1469,1019.8,20.8,71,4.8,50,0.0,466920TaiPei,1
6,2017-01-01,9,西門,2204,2173,1019.7,21.8,70,3.4,60,0.0,466920TaiPei,1
7,2017-01-01,10,西門,3095,3198,1019.2,24.2,65,4.0,60,0.0,466920TaiPei,1
8,2017-01-01,11,西門,4055,5170,1018.1,25.7,60,4.2,60,0.0,466920TaiPei,1
9,2017-01-01,12,西門,4641,6122,1017.0,26.0,57,3.9,80,0.0,466920TaiPei,1
10,2017-01-01,13,西門,5140,7439,1015.9,26.5,55,2.8,80,0.0,466920TaiPei,1
11,2017-01-01,14,西門,5957,7839,1015.1,27.2,55,3.3,60,0.0,466920TaiPei,1
12,2017-01-01,15,西門,6658,7920,1014.7,26.1,57,3.7,70,0.0,466920TaiPei,1
13,2017-01-01,16,西門,7553,7327,1014.9,25.1,60,3.3,60,0.0,466920TaiPei,1
14,2017-01-01,17,西門,8507,8353,1015.1,23.5,63,3.5,50,0.0,466920TaiPei,1
15,2017-01-01,18,西門,8215,7544,1015.2,22.9,65,3.6,50,0.0,466920TaiPei,1
16,2017-01-01,19,西門,6754,6308,1015.8,22.6,65,3.2,50,0.0,466920TaiPei,1
17,2017-01-01,20,西門,6156,5453,1015.9,22.5,65,2.9,50,0.0,466920TaiPei,1
18,2017-01-01,21,西門,6134,4946,1016.0,22.3,65,1.6,50,0.0,466920TaiPei,1
19,2017-01-01,22,西門,5407,4257,1015.9,21.6,65,1.5,50,0.0,466920TaiPei,1
20,2017-01-01,23,西門,3939,2401,1016.0,20.8,69,0.5,100,0.0,466920TaiPei,1
21,2017-01-02,0,西門,834,507,1016.0,19.9,73,1.4,200,0.0,466920TaiPei,1
22,2017-01-02,1,西門,14,0,1015.9,19.5,75,1.5,210,0.0,466920TaiPei,1
23,2017-01-02,5,西門,0,0,1016.6,18.2,80,1.4,220,0.0,466920TaiPei,1
24,2017-01-02,6,西門,469,221,1016.9,18.0,81,0.3,200,0.0,466920TaiPei,1
25,2017-01-02,7,西門,780,565,1017.7,18.2,78,1.0,150,0.0,466920TaiPei,1
26,2017-01-02,8,西門,1329,1020,1018.1,18.7,77,1.5,150,0.0,466920TaiPei,1
27,2017-01-02,9,西門,2051,1992,1018.6,20.7,72,0.9,150,0.0,466920TaiPei,1
28,2017-01-02,10,西門,3111,3113,1018.1,22.9,69,0.5,160,0.0,466920TaiPei,1
29,2017-01-02,11,西門,3652,5075,1017.1,24.5,65,0.8,140,0.0,466920TaiPei,1
30,2017-01-02,12,西門,3779,5635,1016.2,26.1,58,0.3,270,0.0,466920TaiPei,1
31,2017-01-02,13,西門,4159,6103,1015.6,24.2,66,1.7,280,0.0,466920TaiPei,1
32,2017-01-02,14,西門,4836,6499,1015.0,25.7,65,1.2,300,0.0,466920TaiPei,1
33,2017-01-02,15,西門,5506,6289,1014.6,25.2,64,0.7,240,0.0,466920TaiPei,1
34,2017-01-02,16,西門,6278,6029,1014.9,23.4,68,3.2,50,0.0,466920TaiPei,1
35,2017-01-02,17,西門,6965,6049,1015.1,22.9,69,3.1,50,0.0,466920TaiPei,1
36,2017-01-02,18,西門,6504,5718,1015.6,22.2,72,3.0,50,0.0,466920TaiPei,1
37,2017-01-02,19,西門,5061,4606,1015.9,21.7,76,2.3,50,0.0,466920TaiPei,1
38,2017-01-02,20,西門,4935,3891,1016.5,21.1,78,2.8,50,0.0,466920TaiPei,1
39,2017-01-02,21,西門,4516,3733,1016.7,20.8,79,4.3,50,0.0,466920TaiPei,1
40,2017-01-02,22,西門,4113,3153,1016.6,20.8,79,3.8,50,0.0,466920TaiPei,1
41,2017-01-02,23,西門,2305,1405,1016.3,21.0,77,3.8,50,0.0,466920TaiPei,1
42,2017-01-03,0,西門,672,397,1016.1,21.1,76,3.8,50,0.0,466920TaiPei,0
43,2017-01-03,1,西門,12,0,1016.0,20.9,77,2.9,40,0.0,466920TaiPei,0
44,2017-01-03,5,西門,0,0,1016.4,20.2,83,4.0,50,0.0,466920TaiPei,0
45,2017-01-03,6,西門,724,506,1016.8,20.4,83,2.4,60,0.0,466920TaiPei,0
46,2017-01-03,7,西門,2377,1986,1017.4,19.8,87,2.1,100,0.3,466920TaiPei,0
47,2017-01-03,8,西門,4473,6026,1017.7,20.5,86,2.8,60,0.3,466920TaiPei,0
48,2017-01-03,9,西門,3314,2812,1018.1,21.0,84,3.4,50,0.3,466920TaiPei,0
49,2017-01-03,10,西門,3011,2517,1018.4,20.9,84,1.8,60,0.3,466920TaiPei,0
50,2017-01-03,11,西門,2914,2904,1017.8,20.9,85,2.5,70,0.3,466920TaiPei,0
51,2017-01-03,12,西門,2994,3022,1016.6,21.1,85,3.0,60,0.3,466920TaiPei,0
52,2017-01-03,13,西門,3008,3583,1015.7,21.9,81,3.7,50,0.3,466920TaiPei,0
53,2017-01-03,14,西門,3066,3588,1015.4,21.6,80,3.6,50,0.0,466920TaiPei,0
